year, harvest,   Yield,    Production, Imports, Exports,    consumption,industrial use,     use,  stocks
 2016/17,35106,10.96,384778,1450,58270,313828,174892,138936,58253
 2017/18,33469,11.08,370960,923,61935,313834,179169,134665,54367
 2018/19,33090,11.34,375374,1270,62868,322087,181111,140976,46056
 2019/20,34237,11.08,379240,1270,61598,324250,182638,141612,40718
 2020/21,34641,11.20,388130,1270,62233,326786,183269,143517,41099
 2021/22,34641,11.33,392448,1270,62868,329961,183269,146692,41988
 2022/23,34641,11.45,396766,1270,63503,333898,182761,151137,42623
 2023/24,34641,11.58,401212,1270,64138,336439,182127,154312,44528
 2024/25,34439,11.71,403117,1270,64773,337836,180984,156852,46306
 2025/26,34439,11.83,407435,1270,66043,341011,180349,160662,47957
 2026/27,34439,11.96,411753,1270,67313,343042,179204,163838,50625
 2027/28,34237,12.08,413658,1270,68583,345583,177935,167648,51387
 2028/29,34034,12.21,415436,1270,69853,346218,176665,169553,52022
