year, harvest,   Yield,    Production, Imports, Exports,    consumption,  (loss),  stocks
 2016/17,29708,782,106628,37652,37652,116327,206,80846
 2017/18,33408,806,123529,40743,40743,123013,474,80888
 2018/19,33200,798,121657,41453,41453,127770,328,74447
 2019/20,34241,814,127884,44197,44197,131268,160,70903
 2020/21,34222,827,129982,46391,46391,134433,160,66292
 2021/22,34915,845,135467,49430,49430,137409,160,64190
 2022/23,36117,852,141295,54297,54297,140504,160,64821
 2023/24,36521,867,145355,56162,56162,143987,160,66029
 2024/25,36708,886,149321,57407,57407,146919,160,68271
 2025/26,36972,903,153248,58664,58664,150302,160,71057
 2026/27,37138,916,156181,59926,59926,153298,160,73780
 2027/28,37402,930,159606,61207,61207,156601,160,76625
 2028/29,37696,943,163186,62504,62504,159991,160,79660
