year, harvest,   Yield,    Production, Imports, Exports,    consumption,industrial use,     use,  stocks
 2016/17,49293,2.99,147167,28323,28323,150408,45643,104765,23099
 2017/18,48122,3.00,144271,28920,28920,148219,45162,103057,19151
 2018/19,48759,2.90,141254,27539,27539,142978,44694,98284,17427
 2019/20,49890,2.93,146176,29058,29058,145807,44700,101107,17796
 2020/21,50069,2.94,147319,29792,29792,146968,45027,101941,18147
 2021/22,50171,2.96,148453,30507,30507,148115,45363,102752,18485
 2022/23,50238,2.98,149515,31338,31338,149302,45799,103503,18698
 2023/24,50393,2.99,150844,32034,32034,150587,46092,104495,18955
 2024/25,50477,3.01,151831,32888,32888,151652,46498,105154,19134
 2025/26,50604,3.02,152959,33724,33724,152891,46862,106029,19202
 2026/27,50772,3.04,154168,34419,34419,154027,47137,106890,19343
 2027/28,50877,3.05,155280,35165,35165,155131,47470,107661,19492
 2028/29,50996,3.07,156387,35898,35898,156321,47809,108512,19558
